Cell Line Id,Primary Site,Actual,Predicted,Drug
HCC1500,BREAST,-0.0687287,0.3933842878621508,RTRAIL
HCC1569,BREAST,0.64349877,-0.27128671851780484,RTRAIL
HCC1806,BREAST,-4.16735743,-0.3739299262576723,RTRAIL
JIMT1,BREAST,-0.43037039,0.27567045830967235,RTRAIL
MCF7,BREAST,0.27918467,-0.3396213869873891,RTRAIL
MDAMB157,BREAST,-1.74201906,-0.28887458002743366,RTRAIL
MDAMB175VII,BREAST,0.65176549,0.5809811547678729,RTRAIL
BT483,BREAST,2.17431362,0.7769929144500116,RTRAIL
BT549,BREAST,0.90096665,-0.828367722382247,RTRAIL
CAL851,BREAST,-0.19306266,-0.5045399000008284,RTRAIL
HCC1954,BREAST,0.4899204,-0.23157388859553196,RTRAIL
HDQP1,BREAST,-0.85800247,-1.889256531871664,RTRAIL
MDAMB361,BREAST,-0.36963921,0.33750069529721943,RTRAIL
MDAMB415,BREAST,0.64665722,-0.4907857927132741,RTRAIL
MDAMB468,BREAST,-1.19018348,-1.9288340044398082,RTRAIL
UACC893,BREAST,0.36179917,0.5388989872897634,RTRAIL
BT474,BREAST,0.57110997,1.2144086300970687,RTRAIL
CAMA1,BREAST,-0.82349831,1.0706424424078247,RTRAIL
EFM192A,BREAST,0.5105394,1.310310850505768,RTRAIL
EVSAT,BREAST,-0.28626029,0.5535111880339257,RTRAIL
HCC1187,BREAST,-1.68964825,-0.952416448021794,RTRAIL
HCC1395,BREAST,-2.06341189,-0.1604858416886677,RTRAIL
HCC1599,BREAST,-0.21703144186046516,-0.8419545739430105,RTRAIL
HCC2157,BREAST,-2.04107792,-0.9829675976347575,RTRAIL
HS578T,BREAST,0.47365356,-0.2863436485874278,RTRAIL
HCC1143,BREAST,0.9432818,-1.3562107536489414,RTRAIL
HCC1419,BREAST,1.22680298,1.3249575810325804,RTRAIL
HCC1428,BREAST,0.44360204,-0.08371706307064469,RTRAIL
HCC202,BREAST,0.69274845,-0.12423870129735559,RTRAIL
HCC38,BREAST,-0.16249507,-0.6940507468574686,RTRAIL
HCC70,BREAST,-1.84243949,-0.3487668996549861,RTRAIL
MDAMB436,BREAST,-2.14159335,-0.7945798397265236,RTRAIL
MDAMB453,BREAST,0.50266216,-0.6198886473200302,RTRAIL
UACC812,BREAST,-0.21703144186046516,-0.20803343126090937,RTRAIL
CAL120,BREAST,-1.57557425,-0.2314826174692631,RTRAIL
CAL148,BREAST,-0.21703144186046516,-1.0030823062771899,RTRAIL
CAL51,BREAST,-0.31175417,-0.37744316704774944,RTRAIL
DU4475,BREAST,-1.15679045,-0.2066521876028134,RTRAIL
HCC1937,BREAST,-0.07163082,-0.9511171727879288,RTRAIL
HCC2218,BREAST,-1.19174765,0.21298525302756205,RTRAIL
MDAMB231,BREAST,-0.47688938,-0.677381007608894,RTRAIL
T47D,BREAST,1.13409094,-0.5219067261642002,RTRAIL
ZR7530,BREAST,1.50046947,1.8019620913080978,RTRAIL
AU565,BREAST,0.559812775,-0.44781876345674754,TRAMETINIB
BT20,BREAST,-0.75056212,-1.5064883911887001,TRAMETINIB
EFM19,BREAST,2.43908912,1.279220578865944,TRAMETINIB
HCC1500,BREAST,1.08561574,0.8445388921154444,TRAMETINIB
HCC1569,BREAST,-0.67939423,0.3715667170070069,TRAMETINIB
HCC1806,BREAST,0.39829123,-0.7649329379843742,TRAMETINIB
JIMT1,BREAST,-1.60126062,-0.690795878653829,TRAMETINIB
MCF7,BREAST,2.37559004,0.8871692643292295,TRAMETINIB
MDAMB157,BREAST,2.6819845,0.4713911746031588,TRAMETINIB
MDAMB175VII,BREAST,-0.76981771,0.9189734966683297,TRAMETINIB
BT483,BREAST,4.42772625,1.5713523521236343,TRAMETINIB
BT549,BREAST,-0.38889136,-1.419721481080653,TRAMETINIB
CAL851,BREAST,-1.76559614,-1.8978758788223624,TRAMETINIB
HCC1954,BREAST,-1.80298691,0.0210845944993292,TRAMETINIB
HDQP1,BREAST,0.39029216,0.8530640526476345,TRAMETINIB
MDAMB361,BREAST,1.47638292,-0.7238989850089622,TRAMETINIB
MDAMB415,BREAST,0.48845993,1.1068828433050495,TRAMETINIB
MDAMB468,BREAST,0.10055934,-0.5388680262899922,TRAMETINIB
UACC893,BREAST,-1.23688303,1.1687345249287948,TRAMETINIB
BT474,BREAST,2.86538183,2.5086333514798924,TRAMETINIB
CAMA1,BREAST,2.54060602,1.621833235045621,TRAMETINIB
EFM192A,BREAST,1.54984049,1.6896716066781399,TRAMETINIB
EVSAT,BREAST,1.46887899,-0.04564779494507648,TRAMETINIB
HCC1187,BREAST,1.79502943,0.8202441602973418,TRAMETINIB
HCC1395,BREAST,-0.12213583,-0.5025929080816696,TRAMETINIB
HCC1599,BREAST,0.559812775,-0.31526208202907785,TRAMETINIB
HCC2157,BREAST,2.68112629,-0.06984909467806255,TRAMETINIB
HS578T,BREAST,-0.59094866,0.7094379044518002,TRAMETINIB
HCC1143,BREAST,-2.60930409,-0.8580659032761896,TRAMETINIB
HCC1419,BREAST,2.47424624,2.8785803916099897,TRAMETINIB
HCC1428,BREAST,2.4842999,3.0340574124740307,TRAMETINIB
HCC202,BREAST,2.68884676,2.3888276540041637,TRAMETINIB
HCC38,BREAST,1.14597041,0.9017767558035849,TRAMETINIB
HCC70,BREAST,-0.52183468,0.07567467414112827,TRAMETINIB
MDAMB436,BREAST,-0.67968875,-0.22545875067978527,TRAMETINIB
MDAMB453,BREAST,0.74001086,1.6602368333176782,TRAMETINIB
UACC812,BREAST,0.559812775,0.9561143017023974,TRAMETINIB
CAL120,BREAST,-1.49568335,0.6372406197969507,TRAMETINIB
CAL148,BREAST,0.559812775,3.1365568095281255,TRAMETINIB
CAL51,BREAST,0.54674055,1.0379421814376988,TRAMETINIB
DU4475,BREAST,-6.58334416,0.7161428987602533,TRAMETINIB
HCC1937,BREAST,0.02495634,-0.29814562613347173,TRAMETINIB
HCC2218,BREAST,3.14800256,0.9076585256660363,TRAMETINIB
MDAMB231,BREAST,-2.80238415,-0.16473104802920657,TRAMETINIB
T47D,BREAST,1.98701736,1.5594204155193405,TRAMETINIB
ZR7530,BREAST,3.90790708,1.342842122681203,TRAMETINIB
AU565,BREAST,-1.09588888,0.1348881644748795,WZ3105
BT20,BREAST,0.51920864,0.4334630400453949,WZ3105
EFM19,BREAST,-0.59077416,0.5517997294172032,WZ3105
HCC1500,BREAST,-2.06106165,0.15815907626756504,WZ3105
HCC1569,BREAST,-1.62026841,-1.3751354403280984,WZ3105
HCC1806,BREAST,-1.70274921,-0.1355205436763298,WZ3105
